CHEBI:1646	C05750
CHEBI:27401	C02233
CHEBI:15492	C06715
CHEBI:15371	C07297
CHEBI:17960	C00222
CHEBI:47788	C01876
CHEBI:28726	C05261
CHEBI:1655	C05759
CHEBI:17794	C00197
CHEBI:16001	C00236
CHEBI:30935	C02798
CHEBI:30850	C02123
CHEBI:16345	C00606
CHEBI:1665	C05527
CHEBI:27802	C06336
CHEBI:1670	C05100
CHEBI:18261	C02642
CHEBI:17559	C03470
CHEBI:1679	C11107
CHEBI:27989	C02944
CHEBI:1683	C03989
CHEBI:1373	C11448
CHEBI:15896	C04793
CHEBI:15765	C00355
CHEBI:16433	C01197
CHEBI:27852	C05577
CHEBI:27637	C05580
CHEBI:27978	C04043
CHEBI:1387	C05576
CHEBI:17416	C03223
CHEBI:1390	C06224
CHEBI:1394	C10220
CHEBI:17192	C04178
CHEBI:15788	C02933
CHEBI:17136	C04110
CHEBI:15768	C01060
CHEBI:27981	C04286
CHEBI:28275	C03225
CHEBI:1410	C02118
CHEBI:28318	C07094
CHEBI:1416	C03348
CHEBI:17580	C03985
CHEBI:28790	C00780
CHEBI:16281	C04366
CHEBI:16104	C01198
CHEBI:17993	C04446
CHEBI:16122	C04367
CHEBI:16126	C04794
CHEBI:17385	C03672
CHEBI:15999	C01179
CHEBI:16515	C02509
CHEBI:18007	C06368
CHEBI:16426	C01267
CHEBI:16357	C01162
CHEBI:15851	C03584
CHEBI:1446	C08514
CHEBI:16939	C04368
CHEBI:27764	C06334
CHEBI:1457	C03349
CHEBI:27444	C06146
CHEBI:28084	C03674
CHEBI:1463	C05381
CHEBI:18003	C04480
CHEBI:28168	C09821
CHEBI:2209	C08761
CHEBI:2210	C09764
CHEBI:17282	C02043
CHEBI:49662	C01926
CHEBI:17840	C05658
CHEBI:5921	C09111
CHEBI:5922	C09112
CHEBI:5923	C09113
CHEBI:27495	C08819
CHEBI:17596	C00294
CHEBI:5931	C00723
CHEBI:5932	C02288
CHEBI:5934	C10006
CHEBI:5936	C10007
CHEBI:5939	C07902
CHEBI:5941	C10330
CHEBI:16751	C01711
CHEBI:5944	C09114
CHEBI:16382	C00708
CHEBI:17606	C01382
CHEBI:5950	C07636
CHEBI:5952	C09464
CHEBI:5955	C09689
CHEBI:5961	C08550
CHEBI:5964	C06069
CHEBI:5966	C11657
CHEBI:18248	C00023
CHEBI:30408	C00824
CHEBI:27539	C11129
CHEBI:5981	C09484
CHEBI:5983	C10265
CHEBI:5985	C08551
CHEBI:5986	C09541
CHEBI:5993	C09691
CHEBI:5995	C10468
CHEBI:17582	C00885
